ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
136,廣建章,南投縣,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/eb4472c8-d45a-497c-89fd-d4400c63573c/e1a363f88aae0ee3a147f6b65eb91edd.jpg
137,李建明,南投縣,歡樂造型氣球,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2020-05-28/d8fc3d81-44b4-4ee7-aa32-90ae3d4e44f7//70e364be5a366f9ff950c852f8a0d2f4.jpg
138,林裕肱,南投縣,吉他演奏及彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-05-25/29a304ea-b8c8-4f5b-a466-47fc56962545/ac3687b7e5aa85616566750375bcd0d0.jpg
139,和風樂團,南投縣,薩克斯風、小提琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-05-25/8176e378-2633-48bd-84a7-32d7e005def8/026f68ea5534259a0817152ccb7b946f.jpg
140,鄉土之美合唱團,南投縣,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-05-25/3ad267ad-4faf-401f-983d-11a9d803ee45/e064b178d05a6b0556dc8c6123be1316.jpg
141,林人生,南投縣,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-06-06/e389d1a9-5116-4519-98a7-174c7790c490/310b726186457839f79e4ea7bc0a2270.jpg
142,林再來,南投縣,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/8c000d0f-2e82-4eec-8d02-0422a26bc06a/9d91f17ec4552d2954efd0c50d23c8f2.jpg
143,林昱慈,南投縣,陶笛演奏、舞蹈,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/3bf86eb1-1fc1-400d-a6f5-176e6f9ca8ca/f7bae57fe5c7860848ca2618822acb9a.jpg
144,魯映．棘奧,南投縣,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/c9936489-5642-409c-b29d-9b16accd8f2d/ef697c41042aaa6856149755d4b0344a.jpg
145,詹壽美,南投縣,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/7962f017-5a16-4d60-9bf9-06779ef954d0/dd10088b097472399fe64b62e34244da.jpg
146,詹呂理傑,南投縣,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/b29fc499-93fc-43b7-ac57-7a018a387579/0ebf3b2bfe0945dde1d95db083f038db.jpg
147,王智賢,南投縣,爵士鼓,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/479a0846-50b9-4fac-a47e-1c044d1654a0/f88cd6cab06991a6a902824034298e16.jpg
148,陳徐光,南投縣,薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/f46ae8a5-abf4-423d-8544-92437bdfdafc/91c9d76002730bfbbd77331de0e81ba0.jpg
149,梁松雄,南投縣,長笛、小提琴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/007d79e2-d451-44c3-b4e7-788dc14bf44c/e28b12816409d1e56bf6e48ba2d942fb.jpg
150,呂慧芬,南投縣,長笛演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-25/f3802e1a-331d-420e-a11f-1dc6a1584ca4/b04ebc7b6f86e411f7e0668bdfe7f84f.jpg
151,羅新運,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/8efb0dd2-ba17-4ff7-a221-b86f12249bdb/6dda41692958503c7c86a785aaaa7310.JPG
152,張添福,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/882f77ce-3a46-44e2-97a9-e1c08987f490/242d68d77fc22aee86e505cca870aab3.JPG
153,周佑達,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/6902f173-f54c-4d85-8a60-06d0a4c0af87/724dfebcef767a318ee08e7e20d1ed89.JPG
154,陳夆名,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/ee08ed61-86f6-4142-8972-b5b55b4a0b5e/930d5c2ef24c3260c20c9c47ce22cb77.JPG
155,李明全,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/bbfe79f6-e9d2-4e86-8ec0-82d8f5b743cd/39857bdb913c9f171829e85c1cf1575a.JPG
156,李泳誼,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/50a0fb77-0f4b-457e-af2f-27045783d6c2/855787955fa3a0d6752a3d0912615ea3.JPG
157,陳秀雲,臺南市,二胡彈奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/645530ce-1c1d-4b01-bd3c-fd843276084d/f65bf297b9275e736282c9a3808d52a9.JPG
158,史瑞生,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/2f94e8af-1683-42e5-851d-9f7cb82e7e0f/dffda04d6ddcc44ace33afc53f5a4e59.JPG
159,倪有慶,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/ecd79495-3e88-469a-8d3c-4c6bf6c8a16a/799c0d1888fc39d53aa8eaa5b2229b65.JPG
160,范華亭,臺南市,薩克斯風吹奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/00555bd0-a88f-4c5b-a19d-e604c284a9f5/cdfa3225da6dafca018e0b53d0c889d6.JPG
161,陳溪林,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/9227aa2e-a4c4-4952-8496-4a07d6fd53ad/fb5a0723ff95b60be9335db0a94907b0.JPG
162,張文雄,臺南市,手風琴彈奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/320f9869-5673-4ee0-b3a6-75f43b224c5a/ec7ac0286f4581aa65f823a2ea69d5d6.JPG
163,林芫興,臺南市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/0cf980a2-b6d5-4ffe-bdda-1bb114746d09/083d53ee9318f573fe7a730228efe9fe.JPG
164,廖偉翔,臺南市,花式扯鈴表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/0fbd654f-8a9c-4d34-834c-4b9332b79a5d/116386be9f02c1395e5fc946d11f655c.JPG
165,劉晏,臺南市,爵士鼓打擊,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/02279347-f61c-4f3c-8287-59594467614e/c29e01463ff85bce1f28ca7dcce5fbf1.JPG
166,吳進財,臺南市,歌唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-07-13/60434036-924b-419c-8333-22f1fbf365d0/68c314e6153a6f0fcc17ac859fca0cdd.JPG
